eraJournalId,title,foreignTitle,forOne,forOneName,forTwo,forTwoName,forThree,forThreeName,issn1,issn2,issn3,issn4,issn5,issn6,issn7
15575,Academic Radiology,,1103,Clinical Sciences,,,,,1076-6332,1878-4046,,,,,
41358,Academy of Accounting and Financial Studies Journal,,1501,"Accounting, Auditing And Accountability",1502,"Banking, Finance And Investment",,,1096-3685,1528-2635,,,,,
19871,Academy of Entrepreneurship Journal,,1503,Business And Management,,,,,1087-9595,1528-2686,,,,,
19152,Academy of Management Journal,,1503,Business And Management,1505,Marketing,,,0001-4273,1535-3990,,,,,
39998,Academy of Management Learning and Education,,1503,Business And Management,,,,,1537-260X,1944-9585,,,,,
19149,Academy of Management Review,,1503,Business and Management,1505,Marketing,,,0363-7425,1930-3807,,,,,
19785,Academy of Marketing Science (AMS) Review,,1505,Marketing,,,,,1526-1794,1869-814X,,,,,
19862,Academy of Marketing Studies Journal,,1505,Marketing,,,,,1095-6298,1528-2678,,,,,
40538,Academy of Taiwan Business Management Revie,,1502,"Banking, Finance And Investment",,,,,1813-0534,,,,,,
6716,Acadiensis: journal of the history of the Atlantic region,,2103,Historical Studies,,,,,0044-5851,,,,,,
20294,Access,,1302,Curriculum And Pedagogy ,1303,Specialist Studies In Education,807,Library And Information Studies,1030-0155,,,,,,
34724,"Access: critical perspectives on communication, cultural and policy studies",,807,Library and Information Studies,2001,Communication and Media Studies,2002,Cultural Studies,0111-8889,,,,,,
13370,Accident Analysis and Prevention,,1117,Public Health And Health Services,1507,Transportation And Freight Services,1701,Psychology,0001-4575,1879-2057,,,,,
44329,Accountability in research,,MD,Multidisciplinary,,,,,0898-9621,,,,,,
19056,Accountancy Business and the Public Interest,,1501,"Accounting, Auditing And Accountability",,,,,1745-7718,,,,,,
200000,Accounting & Taxation,,1501,"Accounting, Auditing and Accountability",,,,,1944-592X,2157-0175,,,,,
19058,Accounting and Business Research,,1501,"Accounting, Auditing And Accountability",,,,,0001-4788,,,,,,
19059,Accounting and Finance,,1501,"Accounting, Auditing and Accountability",1502,"Banking, Finance and Investment",1402,Applied Economics,0810-5391,1467-629X,,,,,
200094,Accounting and Finance Research,,1501,"Accounting, Auditing and Accountability",1502,"Banking, Finance and Investment",,,1927-5986,1927-5994, , , , , 
19060,Accounting and the Public Interest,,1501,"Accounting, Auditing And Accountability",,,,,1530-9320,,,,,,
19061,Accounting Auditing and Accountability Journal,,1501,"Accounting, Auditing and Accountability",,,,,0951-3574,1368-0668,1758-4205,,,,
19328,Accounting Education: An International Journal,,1302,Curriculum And Pedagogy ,1501,"Accounting, Auditing And Accountability",,,0963-9284,1468-4489,,,,,
19063,Accounting Forum,,1501,"Accounting, Auditing and Accountability",,,,,0155-9982,1467-6303,,,,,
19064,Accounting Historians Journal,,1501,"Accounting, Auditing And Accountability",2202,History And Philosophy Of Specific Fields,,,0148-4184,,,,,,
19065,Accounting History,,1501,"Accounting, Auditing And Accountability",2202,History And Philosophy Of Specific Fields,,,1032-3732,1749-3374,,,,,
124392,Accounting History Review,,1501,"Accounting, Auditing And Accountability",1503,Business And Management,2202,History And Philosophy Of Specific Fields,2155-2851,2155-286X,0958-5206,1466-4275,,,
19122,Accounting Horizons,,1501,"Accounting, Auditing And Accountability",,,,,0888-7993,1558-7975,,,,,
41359,Accounting in Europe,,1501,"Accounting, Auditing And Accountability",1503,Business And Management,,,1744-9480,1744-9499,,,,,
41360,Accounting Perspectives,,1501,"Accounting, Auditing And Accountability",1502,"Banking, Finance And Investment",,,1499-8653,1911-382X,1911-3838,,,,
19067,Accounting Research Journal,,1501,"Accounting, Auditing And Accountability",1502,"Banking, Finance And Investment",,,1030-9616,,,,,,
19068,Accounting Review,,1501,"Accounting, Auditing And Accountability",,,,,0001-4826,1558-7967,,,,,
19057,"Accounting, Accountability and Performance",,1501,"Accounting, Auditing And Accountability",1502,"Banking, Finance And Investment",1402,Applied Economics,1323-711X,1445-954X,,,,,
19066,"Accounting, Organizations and Society",,1501,"Accounting, Auditing And Accountability",,,,,0361-3682,1873-6289,,,,,
41361,Accounts of Chemical Research,,3,Chemical Sciences,,,,,0001-4842,1520-4898,,,,,
44330,Accreditation and Quality Assurance,,301,Analytical Chemistry,,,,,0949-1775,,,,,,
4858,ACI Materials Journal,,905,Civil Engineering,912,Materials Engineering,1202,Building,0889-325X,1944-737X,,,,,
4142,ACI Structural Journal,,905,Civil Engineering,1202,Building,,,0889-3241,1944-7361,,,,,
34850,ACM Computers in Entertainment,,801,Artificial Intelligence And Image Processing,899,Other Information And Computing Sciences,,,1544-3574,1544-3981,,,,,
39574,ACM Computing Surveys,,8,Information And Computing Sciences,,,,,0360-0300,1557-7341,,,,,
123331,ACM Journal of Data and Information Quality,,8,Information And Computing Sciences,,,,,1936-1955,1936-1963,,,,,
123598,ACM Journal on Computing and Cultural Heritage,,21,History And Archaeology,8,Information And Computing Sciences,,,1556-4673,1556-4711,,,,,
17724,ACM Transactions on Algorithms,,802,Computation Theory and Mathematics,103,Numerical and Computational Mathematics,,,1549-6325,1549-6333,,,,,
17725,ACM Transactions on Applied Perception,,801,Artificial Intelligence And Image Processing,1702,Cognitive Science,,,1544-3558,1544-3965,,,,,
17726,ACM Transactions on Architecture and Code Optimization,,803,Computer Software,,,,,1544-3566,1544-3973,,,,,
17727,ACM Transactions on Asian Language Information Processing,,804,Data Format,806,Information Systems,801,Artificial Intelligence And Image Processing,1530-0226,1558-3430,,,,,
17728,ACM Transactions on Autonomous and Adaptive Systems,,801,Artificial Intelligence And Image Processing,1702,Cognitive Science,,,1556-4665,1556-4703,,,,,
200095,ACM Transactions on Computation Theory,,102,Applied Mathematics,802,Computation Theory and Mathematics,,,1942-3454,1942-3462, , , , , 
17729,ACM Transactions on Computational Logic,,802,Computation Theory And Mathematics,801,Artificial Intelligence And Image Processing,101,Pure Mathematics,1529-3785,1557-945X,,,,,
36114,ACM Transactions on Computer - Human Interaction,,806,Information Systems,1702,Cognitive Science,,,1073-0516,1557-7325,,,,,
17730,ACM Transactions on Computer Systems,,803,Computer Software,806,Information Systems,1006,Computer Hardware,0734-2071,1557-7333,,,,,
32002,ACM Transactions on Computing Education,,899,Other Information and Computing Sciences,1301,Education Systems,,,1531-4278,1946-6226,,,,,
17732,ACM Transactions on Database Systems,,804,Data Format,806,Information Systems,,,0362-5915,1557-4644,,,,,
32178,ACM Transactions on Design Automation of Electronic Systems,,803,Computer Software,1006,Computer Hardware,,,1084-4309,1557-7309,,,,,
17733,ACM Transactions on Embedded Computing Systems,,803,Computer Software,805,Distributed Computing,1006,Computer Hardware,1539-9087,1558-3465,,,,,
17734,ACM Transactions on Graphics,,801,Artificial Intelligence And Image Processing,806,Information Systems,,,0730-0301,1557-7368,,,,,
17735,ACM Transactions on Information and System Security,,803,Computer Software,806,Information Systems,804,Data Format,1094-9224,1557-7406,,,,,
36115,ACM Transactions on Information Systems,,806,Information Systems,807,Library And Information Studies,,,1046-8188,1558-2868,,,,,
200096,ACM Transactions on Intelligent Systems and Technology,,801,Artificial Intelligence and Image Processing,,,,,2157-6912,2157-6904, , , , , 
32003,ACM Transactions on Internet Technology,,805,Distributed Computing,806,Information Systems,801,Artificial Intelligence And Image Processing,1533-5399,1557-6051,,,,,
17737,ACM Transactions on Knowledge Discovery from Data,,801,Artificial Intelligence And Image Processing,,,,,1556-4681,1556-472X,,,,,
200097,ACM Transactions on Management Information Systems,,806,Information Systems,807,Library and Information Studies,,,2158-656X,2158-6578, , , , , 
2,ACM Transactions on Mathematical Software,,802,Computation Theory And Mathematics,806,Information Systems,,,0098-3500,1557-7295,,,,,
17739,ACM Transactions on Modeling and Computer Simulation,,802,Computation Theory And Mathematics,806,Information Systems,,,1049-3301,1558-1195,,,,,
17740,ACM Transactions on Multimedia Computing Communications and Applications,,803,Computer Software,806,Information Systems,805,Distributed Computing,1551-6857,1551-6865,,,,,
17741,ACM Transactions on Programming Languages and Systems,,803,Computer Software,806,Information Systems,,,0164-0925,1057-4514,1558-4593,,,,
123877,ACM Transactions on Reconfigurable Technology and Systems,,1006,Computer Hardware,,,,,1936-7406,1936-7414,,,,,
17742,ACM Transactions on Sensor Networks,,805,Distributed Computing,1005,Communications Technologies,906,Electrical and Electronic Engineering,1550-4859,1550-4867,,,,,
17743,ACM Transactions on Software Engineering and Methodology,,803,Computer Software,806,Information Systems,,,1049-331X,1557-7392,,,,,
17744,ACM Transactions on Speech and Language Processing,,801,Artificial Intelligence and Image Processing,1702,Cognitive Science,906,Electrical and Electronic Engineering,1550-4875,1550-4883,,,,,
17746,ACM Transactions on the Web,,805,Distributed Computing,806,Information Systems,807,Library And Information Studies,1559-1131,1559-114X,,,,,
44333,Acme: an international e-journal for critical geographies ,Acme: Revue électronique internationale de géographie critique,16,Studies In Human Society,20,"Language, Communication And Culture",,,1492-9732,,,,,,
35169,Acme: annali della Facolta di Lettere e Filosofia dell'Universita degli Studi di Milano,,2005,Literary Studies,2103,Historical Studies,2203,Philosophy ,0001-494X,,,,,,
34706,Acoma,,2005,Literary Studies,,,,,1122-6218,,,,,,
36332,ACORN: the journal of perioperative nursing in Australia,,1110,Nursing,,,,,1448-7535,,,,,,
1283,Acoustical Science and Technology,,203,Classical Physics,913,Mechanical Engineering,2004,Linguistics,0369-4232,0388-2861,1346-3969,1347-5177,,,
1284,Acoustics Australia,,2,Physical Sciences,9,Engineering,,,0814-6039,,,,,,
9312,Across Languages and Cultures: a multidisciplinary journal for translation and interpreting studies,,2002,Cultural Studies,2003,Language Studies,2004,Linguistics,1585-1923,1588-2519,,,,,
40638,ACS Applied Materials and Interfaces,,904,Chemical Engineering,303,Macromolecular and Materials Chemistry,306,Physical Chemistry (incl. Structural),1944-8244,1944-8252,,,,,
200098,ACS Catalysis,,302,Inorganic Chemistry,305,Organic Chemistry,,,2155-5435, , , , , , 
39810,ACS Chemical Biology,,3,Chemical Sciences,6,Biological Sciences,,,1554-8929,1554-8937,,,,,
200099,ACS Chemical Neuroscience,,304,Medicinal and Biomolecular Chemistry,,,,,1948-7193, , , , , , 
1353,ACS Combinatorial Science,,305,Organic Chemistry,304,Medicinal And Biomolecular Chemistry,,,1520-4774,2156-8942,,,,,
200100,ACS Macro Letters,,303,Macromolecular and Materials Chemistry,914,Resources Engineering and Extractive Metallurgy,306,Physical Chemistry (incl. Structural),2161-1653, , , , , , 
122852,ACS Medicinal Chemistry Letters,,304,Medicinal and Biomolecular Chemistry,1115,Pharmacology and Pharmaceutical Sciences,305,Organic Chemistry,1948-5875,,,,,,
36346,ACS M's Health and Fitness Journal,,1106,Human Movement And Sports Science,,,,,1091-5397,1536-593X,,,,,
35029,ACS Nano,,MD,Multidisciplinary,,,,,1936-0851,1936-086X,,,,,
200101,ACS Sustainable Chemistry and Engineering,,301,Analytical Chemistry,399,Other Chemical Sciences,,,2168-0485, , , , , , 
5443,Acta Agriculturae Scandinavica Section A: Animal Science,,702,Animal Production,,,,,0906-4702,1651-1972,,,,,
5244,Acta Agriculturae Scandinavica Section B: Soil and Plant Science,,503,Soil Sciences,607,Plant Biology,703,Crop And Pasture Production,0906-4710,1651-1913,,,,,
124345,Acta Agriculturae Scandinavica Section C: Food Economics,,908,Food Sciences,1402,Applied Economics,,,1650-7541,1651-288X,,,,,
44338,Acta Agronomica Sinica,,701,"Agriculture, Land And Farm Management",,,,,1875-2780,,,,,,
17565,Acta Amazonica,,MD,Multidisciplinary,,,,,0044-5967,,,,,,
44339,Acta Anaesthesiologica Belgica,,1103,Clinical Sciences,,,,,0001-5164,,,,,,
15577,"Acta Anaesthesiologica Scandinavica: an international journal of anaesthesiology and intensive care, pain and emergency medicine",,1103,Clinical Sciences,1109,Neurosciences,1116,Medical Physiology,0001-5172,1399-6576,,,,,
8292,Acta Analytica,,2203,Philosophy ,,,,,0353-5150,1874-6349,,,,,
3,Acta Applicandae Mathematicae,,102,Applied Mathematics,202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",101,Pure Mathematics,0167-8019,1572-9036,,,,,
4,Acta Arithmetica,,101,Pure Mathematics,802,Computation Theory And Mathematics,,,0065-1036,1730-6264,,,,,
3572,Acta Astronautica,,901,Aerospace Engineering,913,Mechanical Engineering,,,0094-5765,,,,,,
1044,Acta Astronomica: an international quarterly journal,,201,Astronomical And Space Sciences,,,,,0001-5237,,,,,,
17747,Acta Automatica Sinica,,801,Artificial Intelligence and Image Processing,906,Electrical and Electronic Engineering,102,Applied Mathematics,0254-4156,1874-1029,,,,,
2302,Acta Biochimica et Biophysica Sinica,,601,Biochemistry And Cell Biology,,,,,0582-9879,1672-9145,1745-7270,,,,
2303,Acta Biochimica Polonica,,601,Biochemistry And Cell Biology,,,,,0001-527X,1734-154X,,,,,
2043,Acta Biologica Hungarica,,6,Biological Sciences,,,,,0236-5383,1588-256X,,,,,
3385,Acta Biomaterialia,,MD,Multidisciplinary,,,,,1742-7061,1878-7568,,,,,
2044,Acta Biotheoretica,,6,Biological Sciences,22,Philosophy and Religious Studies,,,0001-5342,1572-8358,,,,,
2676,Acta Botanica Croatica,,607,Plant Biology,,,,,0365-0588,,,,,,
36344,Acta Cardiologica: an international journal of cardiology,,1102,Cardiovascular Medicine And Haematology,,,,,0001-5385,0373-7934,,,,,
44351,Acta Chimica Slovenica,,3,Chemical Sciences,9,Engineering,,,1318-0207,1580-3155,,,,,
2780,Acta Chiropterologica: international journal of bat biology,,608,Zoology,502,Environmental Science and Management,,,1508-1109,,,,,,
44352,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,,1103,Clinical Sciences,,,,,0001-5415,,,,,,
44354,Acta Chirurgica Belgica,,1103,Clinical Sciences,,,,,0001-5458,,,,,,
30169,Acta Chromatographicae,,301,Analytical Chemistry,,,,,1233-2356,,,,,,
44356,Acta Cirurgica Brasileira,,1103,Clinical Sciences,,,,,0102-8650,,,,,,
35588,Acta Classica,,2103,Historical Studies,2005,Literary Studies,,,0065-1141,2227-538X,,,,,
40971,Acta Clinica Belgica,,1101,Medical Biochemistry And Metabolomics,,,,,0001-5512,0567-7386,1784-3286,,,,
6722,Acta Comeniana,,2103,Historical Studies,,,,,0231-5955,,,,,,
123674,Acta commercii,,1503,Business And Management,,,,,1680-7537,,,,,,
16959,Acta Criminologica,,1602,Criminology,,,,,1012-8093,,,,,,
34295,Acta Crystallographica Section A: Foundations of Crystallography,,204,Condensed Matter Physics,306,Physical Chemistry (incl. Structural),301,Analytical Chemistry,0108-7673,1600-5724,,,,,
34323,Acta Crystallographica Section C: Crystal Structure Communications,,306,Physical Chemistry (incl. Structural),302,Inorganic Chemistry,399,Other Chemical Sciences,1600-5759,0108-2701,,,,,
40284,Acta Crystallographica Section D: Biological Crystallography,,3,Chemical Sciences,6,Biological Sciences,2,Physical Sciences,0907-4449,1399-0047,,,,,
34322,Acta Crystallographica Section E: Structure Reports Online,,3,Chemical Sciences,,,,,1600-5368,,,,,,
34360,Acta Crystallographica Section F: Structural Biology and Crystallization Communications Online,,3,Chemical Sciences,6,Biological Sciences,,,1744-3091,,,,,,
34324,"Acta Crystallographica. Section B: Structural Science, Crystal Engineering and Materials",,306,Physical Chemistry (incl. Structural),301,Analytical Chemistry,912,Materials Engineering,0108-7681,1600-5740,2052-5192,2052-5206,,,
44360,Acta Cybernetica,,801,Artificial Intelligence And Image Processing,802,Computation Theory And Mathematics,,,0324-721X,,,,,,
15578,Acta Cytologica: the journal of clinical cytology and cytopathology,,1103,Clinical Sciences,,,,,0001-5547,1938-2650,,,,,
15579,Acta Dermato-Venereologica,,1103,Clinical Sciences,,,,,0001-5555,,,,,,
15580,Acta Diabetologica: an international journal devoted to the study of clinical and experimental diabetes and metabolism,,1103,Clinical Sciences,,,,,0940-5429,1432-5233,,,,,
44363,Acta Ecologica Sinica,,501,Ecological Applications,602,Ecology,,,1000-0933,,,,,,
2782,Acta Ethologica,,608,Zoology,,,,,0873-9749,1130-3204,1437-9546,,,,
41364,Acta Gastro-Enterologica Belgica,,1103,Clinical Sciences,,,,,0001-5644,1784-3227,,,,,
44370,Acta Geodaetica et Geophysica Hungarica,,404,Geophysics,909,Geomatic Engineering ,,,1217-8977,,,,,,
35060,Acta Geologica Polonica,,403,Geology,,,,,0001-5709,,,,,,
34498,Acta Geologica Sinica,,4,Earth Sciences,,,,,0001-5717,1000-9515,1755-6724,,,,
44371,Acta Geophysica,,404,Geophysics,,,,,1895-6572,,,,,,
40357,Acta Geotechnica,,905,Civil Engineering,,,,,1861-1125,1861-1133,,,,,
15582,Acta Haematologica,,1102,Cardiovascular Medicine And Haematology,,,,,0001-5792,1421-9662,,,,,
200102,Acta Herpetologica,,608,Zoology,,,,,1827-9635,1827-9643, , , , , 
15256,Acta Histochemica,,1101,Medical Biochemistry And Metabolomics,,,,,0065-1281,1618-0372,,,,,
5378,Acta Horticulturae,,706,Horticultural Production,607,Plant Biology,,,0567-7572,,,,,,
5769,Acta Ichthyologica et Piscatoria,,704,Fisheries Sciences,,,,,0137-1592,1734-1515,,,,,
19224,Acta Informatica,,803,Computer Software,804,Data Format,802,Computation Theory And Mathematics,0001-5903,1432-0525,,,,,
33046,Acta Juridica,,1801,Law,,,,,0065-1346,1996-2088,,,,,
21116,Acta Koreana,,MD,Multidisciplinary,,,,,1520-7412,,,,,,
4742,Acta Materialia,,912,Materials Engineering,913,Mechanical Engineering,204,Condensed Matter Physics,1359-6454,1873-2453,,,,,
5,Acta Mathematica,,101,Pure Mathematics,,,,,0001-5962,1871-2509,,,,,
7,Acta Mathematica Hungarica,,101,Pure Mathematics,,,,,0236-5294,1588-2632,,,,,
30631,Acta Mathematica Scientia,Shuxue Wuli Xuebao (A Ji) ,101,Pure Mathematics,102,Applied Mathematics,199,Other Mathematical Sciences,0252-9602,1003-3998,1572-9087,,,,
9,Acta Mathematica Sinica,,101,Pure Mathematics,,,,,0583-1431,1439-7617,1439-8516,,,,
10,Acta Mathematica Vietnamica,,101,Pure Mathematics,,,,,0251-4184,,,,,,
433,Acta Mathematicae Applicatae Sinica English Series,,102,Applied Mathematics,,,,,0168-9673,1618-3932,,,,,
3655,Acta Mechanica,,1,Mathematical Sciences,9,Engineering,,,0001-5970,1619-6937,,,,,
3656,Acta Mechanica Sinica,Lixue Xuebao,913,Mechanical Engineering,912,Materials Engineering,,,0459-1879,0567-7718,1614-3116,,,,
4860,Acta Mechanica Solida Sinica,,905,Civil Engineering,912,Materials Engineering,913,Mechanical Engineering,0894-9166,1860-2134,,,,,
44383,Acta Medica Iranica,,11,Medical And Health Sciences,,,,,0044-6025,,,,,,
44385,Acta Medica Nagasakiensia,,1103,Clinical Sciences,,,,,0001-6055,,,,,,
44387,Acta Metallurgica Sinica (English Letters),,914,Resources Engineering And Extractive Metallurgy,,,,,1006-7191,,,,,,
44388,Acta Meteorologica Sinica,,401,Atmospheric Sciences,,,,,0894-0525,,,,,,
15052,Acta Microbiologica et Immunologica Hungarica,,1108,Medical Microbiology,,,,,1217-8950,1588-2640,,,,,
200103,Acta Microbiologica Sinica,Wei Sheng Wu Xue Bao,605,Microbiology,1103,Clinical Sciences,1108,Medical Microbiology,0001-6209, , , , , , 
9836,Acta Musicologica,,1904,Performing Arts And Creative Writing,,,,,0001-6241,,,,,,
44390,Acta Myologica,,1102,Cardiovascular Medicine And Haematology,1103,Clinical Sciences,,,1128-2460,,,,,,
6725,Acta Neophilologica,,2005,Literary Studies,2103,Historical Studies,,,1509-1619,,,,,,
36229,Acta Neurobiologiae Experimentalis,,1109,Neurosciences,1701,Psychology,1702,Cognitive Science,0065-1400,1689-0035,,,,,
42191,Acta Neurochirurgica: Supplementum,,1103,Clinical Sciences,1109,Neurosciences,,,0065-1419,,,,,,
15583,Acta Neurochirurgica: the European journal of neurosurgery,,1103,Clinical Sciences,1109,Neurosciences,,,0001-6268,0942-0940,,,,,
15585,Acta Neurologica Scandinavica,,1103,Clinical Sciences,,,,,0001-6314,1600-0404,,,,,
15586,Acta Neuropathologica,,1103,Clinical Sciences,1109,Neurosciences,,,0001-6322,1432-0533,,,,,
13122,Acta Neuropsychiatrica,,11,Medical And Health Sciences,17,Psychology And Cognitive Sciences,,,0924-2708,1601-5215,,,,,
13123,Acta Neuropsychologica,,11,Medical And Health Sciences,17,Psychology And Cognitive Sciences,,,1730-7503,,,,,,
11,Acta Numerica,,102,Applied Mathematics,103,Numerical And Computational Mathematics,,,0962-4929,1474-0508,,,,,
15588,Acta Obstetricia et Gynecologica Scandinavica,,1114,Paediatrics And Reproductive Medicine,1117,Public Health And Health Services,,,0001-6349,1600-0412,,,,,
34494,Acta Oceanologica Sinica,,405,Oceanography,,,,,0253-4193,0253-505X,,,,,
32527,Acta Odontologica Scandinavica,,1105,Dentistry,,,,,0001-6357,,,,,,
3189,Acta Oecologica,,602,Ecology,,,,,1146-609X,1873-6238,,,,,
44395,Acta of Bioengineering and Biomechanics,,903,Biomedical Engineering ,1103,Clinical Sciences,1106,Human Movement And Sports Science,1509-409X,,,,,,
15589,Acta Oncologica,,1112,Oncology And Carcinogenesis,,,,,0284-186X,1651-226X,,,,,
15590,Acta Ophthalmologica,,1103,Clinical Sciences,1109,Neurosciences,1113,Ophthalmology And Optometry,1395-3907,1755-375X,1755-3768,,,,
125187,Acta Optica Sinica,Guangxue Xuebao,2,Physical Sciences,9,Engineering,,,0253-2239,,,,,,
21118,Acta Orientalia,,MD,Multidisciplinary,,,,,0001-6438,1600-0439,,,,,
2784,Acta Ornithologica,,608,Zoology,,,,,0001-6454,,,,,,
15591,Acta Orthopaedica,,903,Biomedical Engineering ,1103,Clinical Sciences,,,0001-6470,1745-3674,1745-3682,,,,
44397,Acta Ortopedica Brasileira,,1103,Clinical Sciences,1199,Other Medical And Health Sciences,,,1413-7852,,,,,,
15594,Acta Oto-Laryngologica,,1103,Clinical Sciences,,,,,0001-6489,1651-2553,,,,,
44398,Acta Otorhinolaryngologica Italica,,1103,Clinical Sciences,,,,,0392-100X,,,,,,
15595,Acta Paediatrica: promoting child health,,1114,Paediatrics and Reproductive Medicine,,,,,0803-5253,1651-2227,,,,,
1762,Acta Palaeontologica Polonica,,403,Geology,602,Ecology,603,Evolutionary Biology,0567-7920,1732-2421,,,,,
15054,Acta Parasitologica,,1108,Medical Microbiology,,,,,1230-2821,1896-1851,,,,,
15539,Acta Pathologica et Microbiologica Scandinavica,,1103,Clinical Sciences,1107,Immunology,1108,Medical Microbiology,0903-4641,1600-0463,,,,,
14878,Acta Pharmaceutica,,1115,Pharmacology And Pharmaceutical Sciences,,,,,1330-0075,,,,,,
44405,Acta Pharmaceutica Sciencia,,3,Chemical Sciences,11,Medical and Health Sciences,,,1307-2080,,,,,,
14669,Acta Pharmacologica Sinica,,1115,Pharmacology And Pharmaceutical Sciences,,,,,1671-4083,1745-7254,,,,,
939,"Acta Physica Polonica, Series A: General Physics, Physics of Condensed Matter, Optics and Quantum Electrodynamics",,1,Mathematical Sciences,2,Physical Sciences,,,0587-4246,,,,,,
940,"Acta Physica Polonica, Series B: Elementary Particle Physics, Nuclear Physics, Statistical Physics, Theory of Relativity, Field Theory",,1,Mathematical Sciences,2,Physical Sciences,,,0001-673X,0587-4254,1509-5770,,,,
941,Acta Physica Sinica,,1,Mathematical Sciences,2,Physical Sciences,9,Engineering,1000-3290,1009-1963,1674-1056,1741-4199,,,
40411,Acta Physica Slovaca: journal for experimental and theoretical physics,,202,"Atomic, Molecular, Nuclear, Particle And Plasma Physics",,,,,0323-0465,,,,,,
44406,Acta Physico - Chimica Sinica,,306,Physical Chemistry (Incl. Structural),,,,,1000-6818,,,,,,
2681,Acta Physiologiae Plantarum,,607,Plant Biology,703,Crop And Pasture Production,,,0137-5881,1861-1664,,,,,
14574,Acta Physiologica,,1106,Human Movement and Sports Science,1116,Medical Physiology,,,1748-1708,1748-1716,,,,,
44407,Acta Physiologica Hungarica,,6,Biological Sciences,11,Medical And Health Sciences,,,0231-424X,,,,,,
18698,Acta Politica: international journal of political science,,1606,Political Science,,,,,0001-6810,1741-1416,,,,,
20934,Acta Polytechnica: journal of advanced engineering,,1201,Architecture,,,,,1210-2709,,,,,,
2444,Acta Protozoologica,,605,Microbiology ,,,,,0065-1583,1689-0027,,,,,
13062,Acta Psychiatrica Scandinavica,,11,Medical And Health Sciences,17,Psychology And Cognitive Sciences,,,0001-690X,1600-0447,,,,,
6057,Acta Psychologica,,1701,Psychology,1702,Cognitive Science,,,0001-6918,1873-6297,,,,,
15597,Acta Radiologica,,1103,Clinical Sciences,,,,,0284-1851,1600-0455,,,,,
5572,Acta Scientiae Veterinariae,,707,Veterinary Sciences,,,,,1678-0345,,,,,,
44410,Acta Scientiarum: Biological Sciences,,6,Biological Sciences,,,,,1679-9283,,,,,,
30292,Acta Sociologica,,1608,Sociology,,,,,0001-6993,1502-3869,,,,,
40801,Acta Structilia,,905,Civil Engineering,,,,,1023-0564,,,,,,
12609,Acta Theologica,,2204,Religion And Religious Studies,,,,,1015-8758,,,,,,
2787,Acta Theriologica,,608,Zoology,,,,,0001-7051,1509-4537,,,,,
